step,latent_std,dz_paddle_density,dz_puck_damping,dz_gravity,action_shift,action_shift_rel
25000,0.36886,1.68922,2.25814,2.68143,0.18226,0.20543
50000,0.53248,3.29938,3.34510,3.37533,0.37458,0.66789
75000,0.52192,2.82611,3.46138,3.41590,0.42923,0.80050
100000,0.44978,2.77036,2.85417,3.14153,0.39354,0.75581
125000,0.42895,2.79561,2.44521,2.84780,0.33111,0.57378
150000,0.40802,2.58389,2.28649,2.57784,0.33441,0.57145
175000,0.34882,2.05636,1.93764,2.41974,0.32741,0.53148
200000,0.31146,1.95828,1.66783,2.19115,0.27988,0.42669
225000,0.28132,1.86805,1.51586,1.87772,0.26718,0.39731
250000,0.23144,1.51415,1.18853,1.65110,0.22127,0.31938
275000,0.20129,1.13405,1.13146,1.45414,0.23576,0.34645
300000,0.20037,1.21297,1.03960,1.46545,0.25621,0.34324
325000,0.17561,1.09678,0.93321,1.19077,0.23089,0.31395
350000,0.18759,1.08769,1.03172,1.29345,0.23918,0.30557
375000,0.17913,1.05153,1.06073,1.15957,0.25274,0.32261
400000,0.16714,1.00469,0.99580,1.11076,0.22948,0.28255
425000,0.15405,0.92203,0.92787,0.98941,0.19614,0.23524
450000,0.14453,0.88453,0.91445,0.88327,0.17442,0.21218
475000,0.14390,0.91790,0.94081,0.81926,0.20156,0.25306
500000,0.14964,0.87214,0.96061,0.93342,0.23448,0.29212
525000,0.15530,0.97480,0.96665,0.90325,0.24277,0.30322
550000,0.14547,0.90914,0.84887,0.90185,0.23935,0.31956
575000,0.14643,0.88527,0.88135,0.88593,0.19644,0.25472
600000,0.13925,0.85481,0.81319,0.85312,0.18529,0.23272
625000,0.13823,0.82346,0.76013,0.90451,0.22699,0.29723
650000,0.13634,0.89463,0.73606,0.82842,0.23188,0.31473
675000,0.12802,0.81995,0.66167,0.84678,0.18819,0.25141
700000,0.12750,0.73315,0.69688,0.86396,0.19639,0.25373
725000,0.11176,0.69321,0.60246,0.73895,0.18209,0.23964
750000,0.11473,0.77619,0.58430,0.73155,0.18931,0.25684
775000,0.10405,0.60735,0.55961,0.70663,0.15811,0.19800
800000,0.09798,0.59576,0.58003,0.64815,0.18132,0.23055
825000,0.10231,0.64146,0.56579,0.66264,0.17291,0.22037
850000,0.10094,0.64660,0.53295,0.67242,0.16792,0.22187
875000,0.09890,0.64054,0.61835,0.56071,0.14530,0.17664
900000,0.09153,0.49062,0.51994,0.63188,0.14182,0.18262
925000,0.08880,0.49194,0.52129,0.57195,0.14534,0.18358
950000,0.08902,0.52615,0.50573,0.58822,0.12919,0.15990
975000,0.08665,0.53238,0.49434,0.53031,0.12328,0.14868
1000000,0.08424,0.52159,0.50855,0.49959,0.13568,0.16726
1025000,0.08727,0.44199,0.56095,0.56570,0.12239,0.14298
1050000,0.09648,0.57111,0.53550,0.62995,0.13278,0.15984
1075000,0.09304,0.55296,0.57817,0.55397,0.14953,0.18146
1100000,0.08874,0.52066,0.57704,0.50190,0.13619,0.16601
1125000,0.09102,0.52310,0.53373,0.57286,0.12906,0.15708
1150000,0.08903,0.50754,0.52847,0.56244,0.12051,0.14107
1175000,0.08736,0.55676,0.48952,0.52484,0.14696,0.17566
1200000,0.09090,0.54811,0.53670,0.55805,0.13164,0.15789
1225000,0.09073,0.52693,0.46129,0.61740,0.13779,0.16101
1250000,0.08699,0.51990,0.50529,0.53433,0.12748,0.15713
1275000,0.08596,0.55486,0.42057,0.57684,0.12564,0.15225
1300000,0.07933,0.48331,0.39345,0.52809,0.13681,0.16386
1325000,0.08190,0.52071,0.42284,0.53923,0.12904,0.15291
1350000,0.07925,0.51105,0.43604,0.51069,0.12516,0.14853
1375000,0.08058,0.45117,0.51405,0.50820,0.11462,0.13759
1400000,0.07230,0.41081,0.43618,0.47898,0.09765,0.11533
1425000,0.07291,0.41968,0.42310,0.46209,0.10560,0.12630
1450000,0.07100,0.44214,0.37826,0.45926,0.11357,0.13913
1475000,0.07302,0.40245,0.43857,0.47807,0.10338,0.12420
1500000,0.07139,0.45422,0.41630,0.41813,0.10192,0.12362
1525000,0.06977,0.39063,0.47655,0.40110,0.10544,0.12815
1550000,0.07244,0.43009,0.41931,0.45527,0.10466,0.12720
1575000,0.06395,0.43744,0.34682,0.36856,0.09194,0.11022
1600000,0.06320,0.37344,0.37578,0.41012,0.09440,0.11134
1625000,0.06618,0.41940,0.36800,0.39552,0.09763,0.11686
1650000,0.05802,0.39068,0.30486,0.33459,0.07488,0.08838
1675000,0.06418,0.43387,0.37221,0.35874,0.10005,0.12061
1700000,0.06310,0.41768,0.33588,0.37092,0.08959,0.10841
1725000,0.05959,0.35490,0.37874,0.33984,0.08299,0.09880
1750000,0.05917,0.37841,0.34246,0.34206,0.09083,0.10815
1775000,0.05806,0.36455,0.35516,0.32579,0.07978,0.09478
1800000,0.05524,0.33780,0.31982,0.32647,0.08027,0.09800
1825000,0.05572,0.37984,0.28394,0.32514,0.08725,0.10551
1850000,0.05849,0.40366,0.29104,0.33132,0.08154,0.09845
1875000,0.06292,0.40633,0.31446,0.38135,0.08326,0.10192
1900000,0.05701,0.40768,0.27194,0.33274,0.08216,0.09982
1925000,0.05606,0.38753,0.27575,0.31745,0.07731,0.09344
1950000,0.05493,0.37684,0.29278,0.29938,0.07604,0.09373
1975000,0.05531,0.40160,0.24074,0.31423,0.07928,0.09831
2000000,0.05702,0.43367,0.25783,0.28743,0.09395,0.11681
