global_timestep,episode_index,episode_step,reward,terminated,truncated,paddle_pos_x,paddle_pos_y,target_pos_x,target_pos_y,paddle_vel_x,paddle_vel_y,paddle_acc_x,paddle_acc_y,puck_pos_x,puck_pos_y,puck_vel_x,puck_vel_y,puck_acc_x,puck_acc_y,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,action_0,action_1
0,0,0,-0.3,False,False,0.7261967658996582,0.010229694657027721,0.7612960934638977,0.16656243801116943,0.045934781432151794,0.20459389686584473,0.0,0.0,-0.8773212432861328,-0.0476720817387104,1.0632933378219604,0.0,0.0,0.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,0.03739607334136963,0.16656243801116943
1,0,1,-0.3,False,False,0.7355562448501587,0.026344798505306244,0.8339309692382812,0.13400541245937347,0.18718954920768738,0.32230204343795776,0.9186956286430359,4.0918779373168945,-0.8242669105529785,-0.0476720817387104,1.0610860586166382,0.0,-0.04414558410644531,0.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,0.7239000201225281,0.0,0.0,0.7261967658996582,0.010229694657027721,0.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.800000011920929,0.0,1.0,-0.9552000164985657,-0.0476720817387104,0.0,-0.8773212432861328,-0.0476720817387104,0.0,0.10773420333862305,0.12377571314573288
2,0,2,-0.3,False,False,0.7334685921669006,0.04305184632539749,0.6179212331771851,0.0994301438331604,-0.041753362864255905,0.3341408967971802,2.8250954151153564,2.3541629314422607,-0.7713202238082886,-0.0476720817387104,1.0589338541030884,0.0,-0.043044090270996094,0.0,-0.800000011920929,0.0,1.0,0.7239000201225281,0.0,0.0,0.7261967658996582,0.010229694657027721,0.0,0.7261967658996582,0.010229694657027721,0.0,0.7355562448501587,0.026344798505306244,0.0,-0.800000011920929,0.0,1.0,-0.9552000164985657,-0.0476720817387104,0.0,-0.8773212432861328,-0.0476720817387104,0.0,-0.8773212432861328,-0.0476720817387104,0.0,-0.8242669105529785,-0.0476720817387104,0.0,-0.11763498932123184,0.07308534532785416
3,0,3,-0.3,False,False,0.7295384407043457,0.06751319766044617,0.706390917301178,0.18547731637954712,-0.07860257476568222,0.4892269968986511,-4.578858375549316,0.23677706718444824,-0.7184784412384033,-0.0476720817387104,1.0568355321884155,0.0,-0.04196643829345703,0.0,0.7261967658996582,0.010229694657027721,0.0,0.7261967658996582,0.010229694657027721,0.0,0.7355562448501587,0.026344798505306244,0.0,0.7355562448501587,0.026344798505306244,0.0,0.7334685921669006,0.04305184632539749,0.0,-0.8773212432861328,-0.0476720817387104,0.0,-0.8773212432861328,-0.0476720817387104,0.0,-0.8242669105529785,-0.0476720817387104,0.0,-0.8242669105529785,-0.0476720817387104,0.0,-0.7713202238082886,-0.0476720817387104,0.0,-0.027077658101916313,0.14242547750473022
4,0,4,-0.3,False,False,0.716701328754425,0.08386263996362686,0.6008807420730591,0.05992387980222702,-0.2567427158355713,0.3269887864589691,-0.7369842529296875,3.101722002029419,-0.6657389402389526,-0.0476720817387104,1.054789662361145,0.0,-0.040917396545410156,0.0,0.7355562448501587,0.026344798505306244,0.0,0.7355562448501587,0.026344798505306244,0.0,0.7334685921669006,0.04305184632539749,0.0,0.7334685921669006,0.04305184632539749,0.0,0.7295384407043457,0.06751319766044617,0.0,-0.8242669105529785,-0.0476720817387104,0.0,-0.8242669105529785,-0.0476720817387104,0.0,-0.7713202238082886,-0.0476720817387104,0.0,-0.7713202238082886,-0.0476720817387104,0.0,-0.7184784412384033,-0.0476720817387104,0.0,-0.12865768373012543,-0.007589318789541721
5,0,5,-0.3,False,False,0.7046440839767456,0.09203533083200455,0.6800995469093323,0.06196270138025284,-0.24114486575126648,0.1634538173675537,-3.562802791595459,-3.2447643280029297,-0.613099217414856,-0.0476720817387104,1.0527949333190918,0.0,-0.03989458084106445,0.0,0.7334685921669006,0.04305184632539749,0.0,0.7334685921669006,0.04305184632539749,0.0,0.7295384407043457,0.06751319766044617,0.0,0.7295384407043457,0.06751319766044617,0.0,0.716701328754425,0.08386263996362686,0.0,-0.7713202238082886,-0.0476720817387104,0.0,-0.7713202238082886,-0.0476720817387104,0.0,-0.7184784412384033,-0.0476720817387104,0.0,-0.7184784412384033,-0.0476720817387104,0.0,-0.6657389402389526,-0.0476720817387104,0.0,-0.036601778119802475,-0.021899936720728874
6,0,6,-0.3,False,False,0.6947414875030518,0.09264302253723145,0.6838305592536926,0.047918256372213364,-0.19805151224136353,0.012153787538409233,0.3119570016860962,-3.2706995010375977,-0.5605567097663879,-0.0476720817387104,1.0508500337600708,0.0,-0.03889799118041992,0.0,0.7295384407043457,0.06751319766044617,0.0,0.7295384407043457,0.06751319766044617,0.0,0.716701328754425,0.08386263996362686,0.0,0.716701328754425,0.08386263996362686,0.0,0.7046440839767456,0.09203533083200455,0.0,-0.7184784412384033,-0.0476720817387104,0.0,-0.7184784412384033,-0.0476720817387104,0.0,-0.6657389402389526,-0.0476720817387104,0.0,-0.6657389402389526,-0.0476720817387104,0.0,-0.613099217414856,-0.0476720817387104,0.0,-0.020813552662730217,-0.044117074459791183
7,0,7,-0.3,False,False,0.683281660079956,0.09646144509315491,0.6459155082702637,0.12535186111927032,-0.22919677197933197,0.07636842131614685,0.8618670701980591,-3.026000499725342,-0.5081090331077576,-0.0476720817387104,1.0489537715911865,0.0,-0.03792524337768555,0.0,0.716701328754425,0.08386263996362686,0.0,0.716701328754425,0.08386263996362686,0.0,0.7046440839767456,0.09203533083200455,0.0,0.7046440839767456,0.09203533083200455,0.0,0.6947414875030518,0.09264302253723145,0.0,-0.6657389402389526,-0.0476720817387104,0.0,-0.6657389402389526,-0.0476720817387104,0.0,-0.613099217414856,-0.0476720817387104,0.0,-0.613099217414856,-0.0476720817387104,0.0,-0.5605567097663879,-0.0476720817387104,0.0,-0.04882600158452988,0.03270883485674858
8,0,8,-0.3,False,False,0.6668843626976013,0.09892314672470093,0.5968726873397827,0.09662088006734848,-0.32794609665870667,0.049233999103307724,-0.6229051947593689,1.2842926979064941,-0.45575377345085144,-0.0476720817387104,1.0471049547195435,0.0,-0.03697633743286133,0.0,0.7046440839767456,0.09203533083200455,0.0,0.7046440839767456,0.09203533083200455,0.0,0.6947414875030518,0.09264302253723145,0.0,0.6947414875030518,0.09264302253723145,0.0,0.683281660079956,0.09646144509315491,0.0,-0.613099217414856,-0.0476720817387104,0.0,-0.613099217414856,-0.0476720817387104,0.0,-0.5605567097663879,-0.0476720817387104,0.0,-0.5605567097663879,-0.0476720817387104,0.0,-0.5081090331077576,-0.0476720817387104,0.0,-0.08640896528959274,0.00015943196194712073
9,0,9,-0.3,False,False,0.6442567706108093,0.09525538980960846,0.5512056350708008,0.048905640840530396,-0.4525515139102936,-0.07335507869720459,-1.9749865531921387,-0.5426884293556213,-0.4034886658191681,-0.0476720817387104,1.045302391052246,0.0,-0.036051273345947266,0.0,0.6947414875030518,0.09264302253723145,0.0,0.6947414875030518,0.09264302253723145,0.0,0.683281660079956,0.09646144509315491,0.0,0.683281660079956,0.09646144509315491,0.0,0.6668843626976013,0.09892314672470093,0.0,-0.5605567097663879,-0.0476720817387104,0.0,-0.5605567097663879,-0.0476720817387104,0.0,-0.5081090331077576,-0.0476720817387104,0.0,-0.5081090331077576,-0.0476720817387104,0.0,-0.45575377345085144,-0.0476720817387104,0.0,-0.11567874997854233,-0.05001750588417053
