filename,num_frames,duration_s,occluded_count,occluded_fraction,num_runs,mean_run_frames,max_run_frames,isolated_runs,short_runs,medium_runs,long_runs,window_1s_mean_count,window_1s_fano,window_5s_mean_count,window_5s_fano,has_occlusion
trajectory_data100.hdf5,204,9.850997924804688,4,0.0196078431372549,3,1.3333333333333333,2,2,1,0,0,0.4,1.1000000000000003,2.0,0.5,1
trajectory_data102.hdf5,411,19.960639715194702,18,0.043795620437956206,10,1.8,6,6,3,1,0,0.9,2.6555555555555554,4.5,5.5,1
trajectory_data103.hdf5,212,10.220208168029785,12,0.05660377358490566,3,4.0,9,1,1,1,0,1.0909090909090908,3.7424242424242427,4.0,4.666666666666667,1
trajectory_data104.hdf5,92,4.429022312164307,3,0.03260869565217391,2,1.5,2,1,1,0,0,0.6,1.0666666666666667,3.0,0.0,1
trajectory_data105.hdf5,138,6.662312269210815,1,0.007246376811594203,1,1.0,1,1,0,0,0,0.14285714285714285,0.8571428571428573,0.5,0.5,1
trajectory_data107.hdf5,181,8.746071338653564,4,0.022099447513812154,3,1.3333333333333333,2,2,1,0,0,0.4444444444444444,1.5555555555555556,2.0,2.0,1
trajectory_data108.hdf5,179,8.654333353042603,9,0.05027932960893855,4,2.25,4,2,2,0,0,1.0,2.2222222222222223,4.5,1.3888888888888888,1
trajectory_data109.hdf5,146,7.056474208831787,11,0.07534246575342465,8,1.375,4,7,1,0,0,1.375,3.4431818181818183,5.5,0.4090909090909091,1
trajectory_data11.hdf5,109,5.071471929550171,2,0.01834862385321101,2,1.0,1,2,0,0,0,0.3333333333333333,0.666666666666667,1.0,1.0,1
trajectory_data110.hdf5,189,9.139801979064941,5,0.026455026455026454,3,1.6666666666666667,2,1,2,0,0,0.5,1.3,2.5,0.1,1
trajectory_data111.hdf5,411,19.93043303489685,2,0.004866180048661801,2,1.0,1,2,0,0,0,0.1,0.9,0.5,0.5,1
trajectory_data112.hdf5,70,3.3537631034851074,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
trajectory_data113.hdf5,91,4.3714964389801025,3,0.03296703296703297,2,1.5,2,1,1,0,0,0.6,1.0666666666666667,3.0,0.0,1
trajectory_data114.hdf5,128,6.16678786277771,4,0.03125,2,2.0,3,1,1,0,0,0.5714285714285714,1.4285714285714284,2.0,2.0,1
trajectory_data115.hdf5,225,10.868217468261719,67,0.29777777777777775,6,11.166666666666666,58,3,2,0,1,6.090909090909091,11.297150610583445,22.333333333333332,7.592039800995026,1
trajectory_data117.hdf5,64,3.056244373321533,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
trajectory_data119.hdf5,91,4.378224611282349,1,0.01098901098901099,1,1.0,1,1,0,0,0,0.2,0.8000000000000003,1.0,0.0,1
trajectory_data12.hdf5,91,4.222956657409668,12,0.13186813186813187,2,6.0,11,1,0,1,0,2.4,2.766666666666667,12.0,0.0,1
trajectory_data120.hdf5,115,5.572322130203247,7,0.06086956521739131,4,1.75,3,2,2,0,0,1.1666666666666667,2.4047619047619047,3.5,0.07142857142857142,1
trajectory_data121.hdf5,432,21.07569146156311,33,0.0763888888888889,7,4.714285714285714,24,4,2,0,1,1.5,12.65151515151515,6.6,10.46060606060606,1
trajectory_data122.hdf5,325,15.724310874938965,14,0.043076923076923075,3,4.666666666666667,11,1,1,1,0,0.875,8.125,3.5,5.5,1
